Isabella,"2,073"
Fanni,"2,070"
Kristina,"2,070"
Saila,"2,016"
Virve,"1,992"
Janika,"1,974"
Ulla-Maija,"1,970"
Wilma,"1,955"
Rauha,"1,936"
Fanny,"1,918"
Aija,"1,908"
Juulia,"1,900"
Minja,"1,900"
Susanne,"1,894"
Janette,"1,892"
Iisa,"1,871"
Moona,"1,866"
Lilli,"1,860"
Heta,"1,831"
Helka,"1,822"
Maisa,"1,818"
Katriina,"1,817"
Taija,"1,814"
Tuire,"1,792"
Joanna,"1,786"
Rita,"1,781"
Vera,"1,776"
Tilda,"1,769"
Hanne,"1,762"
Hilja,"1,755"
Lahja,"1,752"
Aini,"1,731"
Maila,"1,717"
Janita,"1,706"
Anette,"1,692"
Reija,"1,677"
Monica,"1,671"
Miisa,"1,660"
Kiira,"1,651"
Janna,"1,649"
Eerika,"1,648"
Karin,"1,648"
Alli,"1,643"
Varpu,"1,601"
Inga,"1,590"
Riitta-Liisa,"1,563"
Thi,"1,557"
Ninni,"1,537"
Elma,"1,536"
Vieno,"1,536"
Vappu,"1,517"
Anna-Kaisa,"1,512"
Melissa,"1,509"
Aliisa,"1,498"
Marketta,"1,484"
Neela,"1,474"
Cecilia,"1,453"
Lilian,"1,451"
Inkeri,"1,449"
Titta,"1,444"
Annikki,"1,435"
Kia,"1,435"
Eine,"1,426"
Elle,"1,420"
Vivian,"1,414"
Livia,"1,412"
Birgit,"1,407"
Saaga,"1,405"
Heljä,"1,401"
Anna-Maria,"1,396"
Irmeli,"1,392"
Alva,"1,390"
Lena,"1,388"
Tyyne,"1,385"
Eini,"1,364"
Melina,"1,358"
Marjaana,"1,355"
Christina,"1,351"
Miina,"1,347"
Kaisla,"1,339"
Mikaela,"1,333"
Salli,"1,329"
Enna,"1,325"
Mimosa,"1,317"
Raisa,"1,295"
Kerstin,"1,293"
Anitta,"1,281"
Elise,"1,267"
Kirsi-Marja,"1,265"
Inna,"1,257"
Tia,"1,254"
Edith,"1,250"
Luna,"1,248"
Svetlana,"1,243"
Annukka,"1,241"
Tuulikki,"1,240"
Elin,"1,202"
Henni,"1,199"
Marja-Terttu,"1,195"
Taika,"1,191"
Mirjam,"1,190"
Daniela,"1,187"
Hanna-Mari,"1,186"
Ira,"1,185"
Diana,"1,175"
Hanna-Leena,"1,174"
Siru,"1,162"
Erin,"1,145"
Fiona,"1,132"
Lisa,"1,125"
Mea,"1,123"
Amelia,"1,122"
Lina,"1,119"
Victoria,"1,115"
Anna-Mari,"1,114"
Tuulia,"1,109"
Marianna,"1,107"
Tatiana,"1,106"
Kira,"1,104"
Aura,"1,103"
Tina,"1,100"
Malin,"1,099"
Malla,"1,096"
Helga,"1,093"
Adele,"1,092"
Reeta,"1,090"
Liina,"1,089"
Juuli,"1,076"
Lyydia,"1,073"
Katarina,"1,071"
Brita,"1,068"
Saima,"1,060"
Bea,"1,058"
Helinä,"1,053"
Helli,"1,044"
Carola,"1,043"
Inger,"1,040"
Marja-Riitta,"1,037"
Tuovi,"1,037"
Tinja,"1,036"
Stina,"1,033"
Aida,"1,031"
Lilia,"1,031"
Siv,"1,031"
Sointu,"1,028"
Barbro,"1,026"
Pilvi,"1,025"
Marie,"1,017"
Viena,"1,015"
Janni,"1,012"
Meea,998
Astrid,996
Sarah,993
Teresa,991
Karita,983
Tessa,979
Raila,978
Aleksandra,970
Minka,970
Valma,969
Annina,964
Ekaterina,962
Säde,961
Anna-Leena,954
Anne-Maria,950
Ebba,949
Sanna-Mari,949
Leea,948
Gunilla,945
Carina,941
Nanna,939
Susan,923
Amalia,922
Marjo-Riitta,914
Lila,912
Else,907
Isabel,904
Aamu,900
Solveig,898
Ava,897
Josefiina,896
Berit,891
Monika,889
Riia,888
Rebecca,886
Inari,884
Henriikka,878
Pirkko-Liisa,874
Lempi,872
Virva,872
Milka,869
Selina,865
Charlotta,864
Verna,862
Eliisa,858
Erica,855
Hanna-Kaisa,845
Iita,845
Elea,843
Janica,842
Jasmine,841
Anastasia,828
Mirella,824
Nadja,818
Gun,815
Ingrid,807
Kyllikki,803
Hely,800
Sofie,800
Sohvi,799
Unna,796
Åsa,794
Annu,793
Rebekka,792
Lydia,790
Greta,785
Marjukka,784
Ruut,779
Ester,778
Iines,774
Nita,773
Ansa,771
Tove,766
Jatta,762
Elviira,760
Mimmi,759
Anne-Marie,758
Maija-Leena,758
Leona,756
Harriet,754
Milena,752
Pipsa,750
Maaret,746
Selja,745
Liisi,743
Minni,740
Maya,738
Alice,725
Lily,723
Nelly,718
Sylvia,718
Isa,712
Aulikki,711
Laina,711
Alissa,709
Maj-Britt,709
Annamari,696
Lili,691
Piritta,688
Mirjami,685
Pirita,674
Benita,664
Tellervo,661
Margareta,658
Lyyli,656
Matleena,645
Lara,644
Emily,635
Ina,635
Rea,635
Adessa,634
Ines,631
Jennifer,627
Noomi,622
Mirkka,621
Annette,615
Ruth,614
Valentina,613
Sinna,606
Yvonne,606
Ann,604
Evelina,603
Sarita,603
Sabina,599
Ann-Mari,598
Elisabeth,596
Onerva,592
Tara,587
Regina,581
Eve,575
Gunnel,574
Martina,571
Galina,569
Veronica,568
Hanna-Maria,565
Ilse,565
Jasmiina,565
Carolina,564
Felicia,564
Kielo,564
Siri,561
Patricia,557
Silvia,556
Elna,551
Marju,550
Sofi,550
Helen,547
Britta,545
Pirjo-Riitta,545
Mailis,544
Loviisa,543
Elvira,542
Linn,540
Gunvor,539
Claudia,538
