Kasperi,"1,901"
Elmo,"1,895"
Klaus,"1,882"
Axel,"1,862"
Severi,"1,813"
Stefan,"1,800"
Hannes,"1,771"
Lari,"1,768"
Nils,"1,765"
Teijo,"1,763"
Rainer,"1,761"
Jesper,"1,755"
Terho,"1,747"
Paul,"1,744"
Anders,"1,719"
Antero,"1,696"
Manu,"1,680"
Felix,"1,660"
Urpo,"1,658"
Reima,"1,656"
Leon,"1,652"
Tommy,"1,652"
Andreas,"1,626"
Martin,"1,591"
Ari-Pekka,"1,585"
Adam,"1,580"
Marcus,"1,580"
Arvi,"1,563"
Linus,"1,561"
Karri,"1,547"
Vertti,"1,530"
Kimi,"1,510"
Mohamed,"1,508"
Aarno,"1,497"
Eliel,"1,482"
Jerry,"1,482"
Erno,"1,473"
Aarre,"1,472"
Bengt,"1,462"
Kevin,"1,459"
Touko,"1,459"
Jori,"1,456"
Taavi,"1,446"
Taneli,"1,415"
Viktor,"1,405"
Mats,"1,389"
Timi,"1,375"
Noah,"1,366"
Verneri,"1,364"
Stig,"1,357"
Jonathan,"1,339"
Kenneth,"1,335"
Patrick,"1,329"
Rolf,"1,318"
Iivo,"1,312"
Simon,"1,312"
Michael,"1,285"
Jiri,"1,266"
Mico,"1,253"
Casper,"1,247"
Jari-Pekka,"1,237"
Sven,"1,232"
Liam,"1,230"
Fredrik,"1,226"
Björn,"1,204"
David,"1,200"
Ralf,"1,198"
Tobias,"1,179"
Rauli,"1,167"
Eerik,"1,149"
Kurt,"1,140"
Tenho,"1,135"
Juhana,"1,132"
Kalervo,"1,116"
Ahmed,"1,102"
Teo,"1,100"
Niki,"1,096"
Tuure,"1,094"
Artturi,"1,083"
Per,"1,074"
Raine,"1,070"
Elia,"1,067"
Bo,"1,065"
Tiitus,"1,058"
Magnus,"1,047"
Gabriel,"1,045"
Dan,"1,043"
Venni,"1,039"
Mathias,"1,032"
Aamos,"1,025"
Albert,"1,001"
Kosti,"1,000"
Sampsa,997
Sasu,990
Victor,989
Joose,978
Ulf,977
Jan-Erik,964
Niila,956
Jalo,946
Ukko,938
Noa,929
Visa,919
Rafael,918
Jose,916
Oula,915
Ville-Veikko,915
Jens,908
Erkka,899
Filip,889
Armas,888
Nikolas,888
Iikka,883
Okko,878
Jeremias,876
Paulus,876
Antton,865
Heino,863
Christer,860
Mohammad,859
Petrus,856
Mio,851
Vincent,847
Theo,836
Iivari,835
Amos,834
Aleksanteri,828
Allan,811
Kjell,805
Niclas,796
Roger,791
Marco,789
Taito,789
Neo,781
Jonatan,773
Nicolas,771
Krister,770
Jimmy,768
Valto,766
Adrian,763
Auvo,762
Jon,760
Waltteri,760
Ilmo,757
Mohammed,754
Jussi-Pekka,739
Vesa-Matti,737
Eevert,735
Andrei,731
Richard,725
Altti,721
Alf,713
Jare,709
Eric,708
Ilja,708
Helge,703
Mark,703
Kaarle,693
Bror,686
Isak,686
Isto,675
Omar,671
Rene,667
Johnny,662
Elliot,659
Roy,650
Aron,641
Turo,636
Kaius,630
Tim,629
Ben,628
Jim,619
Jonni,619
Nicholas,619
Dennis,618
Atso,613
Aleksandr,611
Sam,608
Göran,599
Miki,597
Walter,596
Muhammad,592
Jalmari,589
Reko,586
Hermanni,584
Petja,582
Christoffer,578
Elis,577
Ibrahim,576
Nikolai,575
Jarl,566
Eppu,556
Jasu,556
Aapeli,555
Aksel,549
Vladimir,549
Frank,548
Torsti,545
Hemmo,543
Ivan,543
Eljas,541
Börje,539
Dani,539
Veini,533
Alvin,532
Tor,528
Amir,521
Pietari,520
Romeo,520
Aukusti,519
Ruben,511
Juri,505
Ville-Pekka,503
Mustafa,501
Sergei,496
Jaro,494
Mirko,492
Elmer,487
Arthur,486
Håkan,485
Valter,484
Pekko,483
Vesa-Pekka,483
Christopher,480
Valo,480
Arno,478
August,477
Nikita,466
Alfred,464
Arne,458
Antti-Jussi,457
Ensio,453
Raino,452
Bjarne,451
Viljam,449
Arvid,447
Kaspian,443
Pontus,441
Pavel,439
Artur,438
Ahmad,437
Roman,436
Igor,435
Antto,432
Gustav,423
Kari-Pekka,421
Abdirahman,419
Maxim,417
Bruno,416
Joa,416
Nicklas,412
Ohto,412
Ronny,412
Vilppu,411
Denis,408
Mattias,408
Nestori,408
Manuel,407
Arsi,406
Antti-Pekka,405
Into,404
Åke,401
Edwin,400
Jakob,400
Einari,399
Albin,397
Joosua,395
Kauno,394
Ivar,393
André,389
Aleksei,388
Samppa,386
Elian,383
Wilhelm,382
Guy,381
Mikke,380
Sten,379
Aake,378
Gunnar,377
Kent,377
Edward,372
Nino,372
James,371
Iisak,369
Osku,368
Kuisma,367
Georg,366
Kristoffer,364
Philip,364
Maximilian,363
Usko,362
Turkka,359
Evert,358
Wille,358
Alvari,357
Melvin,352
Boris,351
Miio,349
Van,349
Eeti,345
Mikhail,345
Rune,345
Maksim,344
Aleksander,343
Jacob,343
Pietu,342
Jonny,341
Hussein,340
Marius,339
Abdullahi,337
Anttoni,337
Dominic,337
Jack,337
Aatto,335
Asmo,335
Julian,334
Tage,334
Joshua,333
Einar,332
Milton,329
Hassan,328
Vihtori,327
Yusuf,326
Karo,325
Karim,324
Aslak,323
Lennart,323
Jason,322
Mitja,319
Ian,317
Konstantin,315
Pete,313
Ville-Petteri,313
Iisakki,312
Oleg,310
Herman,308
Kasimir,308
Matts,307
Aleksis,306
Herkko,306
Edvard,304
Totti,302
Levi,301
Jean,300
Jake,297
Klas,297
Uuno,294
Asser,291
Hamza,291
Kirill,291
Masi,291
Ted,289
Anthony,288
Abdullah,287
Ville-Matti,287
Svante,285
Jari-Matti,283
Verner,283
Sergey,282
Eddie,281
Hannu-Pekka,281
Petro,281
Esa-Pekka,280
Roland,279
Erkko,278
Nikke,278
Anas,277
Ole,277
Pirkka,276
Benny,275
Samir,273
Anselmi,272
Joachim,272
Valde,272
Jasse,271
Andrey,270
Rikhard,270
Ari-Matti,268
Leonardo,268
Wiljami,268
Ove,267
Viggo,267
Jaani,266
Mertsi,266
Rony,266
Wilmer,264
Wäinö,263
Dimitri,261
Toimi,261
Simeon,259
Jörgen,256
Miiko,254
Jone,253
Juho-Pekka,252
Liinus,252
Pessi,252
Bernt,251
Renne,250
Dmitri,248
Hasan,248
Jetro,248
Peik,248
Alec,247
Antonio,247
Daniil,247
Artem,245
Leonel,245
Nemo,245
Petter,245
Sune,245
Timo-Pekka,245
Kuutti,244
Matthew,244
Leonard,243
Carlos,241
Mehmet,241
Said,241
Soini,241
Ismail,240
Charles,239
Elvin,238
Remi,237
Jeremia,234
Leino,234
Maunu,233
Orvo,232
Knut,231
Casimir,228
Dick,228
Kerkko,228
Alexey,226
Ronnie,226
Berndt,223
Niilas,223
Per-Erik,223
Immo,222
Kare,220
Rico,220
Torsten,220
Mike,219
Olof,219
Alexandre,218
Mårten,218
Ola,218
Isac,217
Khalid,217
Amin,215
Andrew,215
Jermu,215
Mohamad,215
Valentin,215
Karl-Erik,214
Tristan,214
Elton,213
Olle,213
Conny,212
Olli-Matti,212
Abdul,211
Dmitry,211
Gösta,211
Lars-Erik,211
Elja,210
Carl-Johan,208
Ernst,208
