"Abubakr";19
"Abubeker";17
"Abu";31
"Abukar";319
"Abuukar";44
"Abyan";31
"Aby";10
"Acacia";10
"Ace";16
"Achara";17
"Achieng";49
"Adaeze";25
"Ada";1490
"Adaleta";12
"Adalet";21
"Adalheidur";..
"Adalia";20
"Adama";109
"Adam";370
"Adamsdotter";25
"Adanech";17
"Adane";11
"Adan";392
"Adanna";20
"Adaobi";10
"Adaora";11
"Adar";68
"Adda";11
"Adde";13
"Addie";14
"Addi";..
"Addis";30
"Addison";10
"Addy";11
"Adea";96
"Adeba";10
"Adeebah ";..
"Adeeba";14
"Adeeb";33
"Adeela";14
"Ade";16
"Adelaida";48
"Adelaide";135
"Adelajda";14
"Adela";1380
"Adéla";67
"Adeleh";21
"Adeleine";15
"Adele";2615
"Adelé";144
"Adéle";1191
"Adélé";..
"Adèle";172
"Adelen";..
"Adelgunda";..
"Adelheid";76
"Adelia";469
"Adélia";14
"Adelie";63
"Adélie";10
"Adeli";30
"Adelina";1103
"Adeline";451
"Adelin";40
"Adelisa";67
"Adel";498
"Adél";39
"Adella";32
"Adelle";172
"Adell";18
"Adem";103
"Adena";14
"Adenike";16
"Aden";351
"Adeola";14
"Adesuwa";23
"Adevija";15
"Adey";12
"Adham";16
"Adhanet";53
"Adhanom";30
"Adhiambo";44
"Adhraa ";21
"Adia";22
"Adiam";180
"Adian";32
"Adiba";136
"Adib";29
"Adifete";..
"Adi";26
"Adila";105
"Adile";64
"Adil";166
"Adina";1685
"Adinda";10
"Adine";118
"Adisa";214
"Aditi";60
"Adja";13
"Adjoa";17
"Adjo";10
"Adjoua";10
"Adla";52
"Adly";23
"Admira";90
"Adna";333
"Adnana";26
"Adnan";492
"Adni";16
"Adno";18
"Adolfina";52
"Adolfine";11
"Adonia";11
"Adora";92
"Adow";28
"Adra";10
"Adria";12
"Adriana";1751
"Adriane";30
"Adrian";49
"Adrianna";147
"Adrianne";34
"Adrielle";11
"Adrienne";354
"Adrienn";63
"Adrija";16
"Adrijana";88
"Adrina";60
"Adrita";10
"Advija";28
"Advije";18
"Advika";10
"Adwar";21
"Adwoa";30
"Adyam";22
"Ady";..
"Aea";..
"Aedah";21
"Aeda";16
"Aed ";14
"Ae";88
"Aela";17
"Aelia";10
"Aenne";..
"Aeshah";14
"Aesha";38
"Afaf";223
"Afagh";18
"Afef";..
"Aferdita";215
"Afërdita";12
"Afewerki";62
"Afeworki";21
"Afia";52
"Afifa";60
"Afife";..
"Afifi";12
"Afif";16
"Afi";32
"Afnaan";29
"Afnan";161
"Afomia";13
"Afraa";49
"Afrah";232
"Afra";46
"Afram";45
"Afrdita";..
"Afreen";11
"Africa";12
"Afrin";29
"Afriyie";10
"Afrodita";30
"Afrodite";147
"Afroditi";43
"Afrooz";17
"Afrouz";15
"Afroza";32
"Afroz";16
"Afsana";48
"Afsaneh";219
"Afsane";21
"Afsar";25
"Afshan";32
"Afsheen";14
"Afsoon";16
"Aftab";17
"Afua";30
"Agapi";46
"Agata";710
"Agatha";99
"Agathe";78
"Agda";770
"Age";10
"Ageliki";..
"Agge";10
"Aggeliki";15
"Aggie";17
"Agha";10
"Aghdas";50
"Agi";17
"Agita";11
"Aglaia";29
"Agna";15
"Agne";90
"Agné";21
"Agnelia";14
"Agnesa";162
"Agnes-Cecilia";26
"Agnesdotter";17
"Agnese";65
"Agnes";25084
"Agnés";12
"Agnès";47
"Ágnes";49
"Agneta";33077
"Agnete";253
"Agnetha";1255
"Agnethe";56
"Agnez";50
"Agnhild";12
"Agnieszka";2156
"Agni";29
"Agnita";10
"Agny";12
"Agota";26
"Agrin";15
"Agusta";42
"Ágústa";..
"Agustina";66
"Ahad";16
"Ahana";15
"Ahang";16
"Ahd";14
"Ahed";60
"Ahin";41
"Ah";94
"Ahlaam";59
"Ahlam";634
"Ahlan";17
"Ahlem";32
"Ahmad";1449
"Ahmed";6377
"Ahn";..
"Ahnna";11
"Aho";11
"Ahou";12
"Ahsan";25
"Ahsen";13
"Aiad";15
"Aiah";18
"Aia";75
"Aiat";18
"Aicha";489
"Aïcha";21
"Aiche";12
"Aidah";24
"Aida";1983
"Aidan";10
"Aide";17
"Aiden";18
"Aidid";16
"Aidi";..
"Aiga";16
"Aigul";18
"Aija";145
"Ai";147
"Aikaterini";199
"Aiko";79
"Aila";1020
"Aileen";156
"Aile";10
